Species,Breed
Alpaca,Huacaya
Alpaca,Suri
Alpaca,Chilian Alpaca
Alpaca,Llamingos-pucungos
Bison,American Plains Bison
Bison,American Wood Bison
Bison,Biisoni
Bison,American Bison
Buffalo,Water Buffalo / Domestic Buffalo (general term)
Buffalo,"Swamp Buffalo (common in Southeast Asia, China, Papua New Guinea)"
Buffalo,"River Buffalo (common in South Asia, e.g., Murrah, Bhadawari, Jafarabadi, Surti, Mehsana, Nili-Ravi)"
Buffalo,Murrah (India/Pakistan – widely recognized breed)
Buffalo,Jafarabadi (India – large heavy breed)
Buffalo,Bhadawari (India/Pakistan)
Buffalo,Surti (India)
Buffalo,Mehsana (India)
Buffalo,Banni (India – Gujarat)
Buffalo,Nili-Ravi (Pakistan – Punjab)
Buffalo,"Mediterranean / Mediterranea / Bufala Mediterranea Italiana (Italy, Greece, Balkans)"
Buffalo,American Bison (North America – sometimes grouped with buffalo in livestock lists)
Buffalo,Wild Water Buffalo (Bubalus arnee)
Buffalo,Anoa (Indonesia – Sulawesi dwarf buffalo)
Buffalo,Philippine Carabao (Philippines)
Buffalo,Borneo Buffalo / Kerbau-Sawah / Selembu / Kalang (Southeast Asia)
Buffalo,Nepalese Hill / Nepalese Mountain Buffalo
Buffalo,Egyptian / Khuzestan Buffalo
Buffalo,Lanka / Mannar Buffalo (Sri Lanka)
Buffalo,Ghab Buffalo / Khouay / Trau Noi / Ngo / De (Middle East & Vietnam regional types)
Buffalo,"Nondescript / Local Buffaloes (catch-all for minor, unclassified local populations worldwide)"
Camel,Bactrian Camel (general/common type)
Camel,Mongolian Bactrian Camel
Camel,Kazakh Bactrian Camel
Camel,Kalmyk Bactrian Camel
Camel,Indian Bactrian Camel
Camel,Camello Canario (Canary Islands)
Camel,"Chinese Bactrian Camel (covers Alxa, Qinghai, Sonid, Xinjiang Junggar, Xinjiang Tarim)"
Camel,"Mongolian / Inner Mongolia regional types (covers Galbin goviin ulaan, Khanin khetsiin khuren, Tukhum Tungalagin khuren)"
Camel,Australian Feral Dromedary
Camel,Camelus dromedarius
Camel,Botswana Camel
Camel,Fallahi
Camel,Maghrabi
Camel,Mowalled
Camel,Sudani
Camel,Amibara
Camel,Borena
Camel,Gellebe
Camel,Hoor
Camel,Jijiga
Camel,Liben
Camel,Mille
Camel,Shinille
Camel,Bikaneri
Camel,Jaisalmeri
Camel,Jalori
Camel,Kharai
Camel,Kutchi
Camel,Malvi
Camel,Marwari
Camel,Mewari
Camel,Mewati
Camel,Sindhi
Camel,Baluchi
Camel,Bushehr
Camel,Kalkoohi
Camel,Kerman
Camel,South Khorasan
Camel,Turkmen
Camel,Yazd
Camel,Iraqi
Camel,Judi
Camel,Khawar
Camel,Shamelia
Camel,Arvana-Kazakh Type
Camel,Turkmen Arvana
Camel,Rendille
Camel,Somali
Camel,Turkana
Camel,Guerzni
Camel,Jebli
Camel,Khaouri
Camel,Marmouri
Camel,Bérabiche
Camel,Chameau De L'azaouad
Camel,Chameau Du Hodh
Camel,Chameau De L'aftout
Camel,Chameau Du Sahel
Camel,Azarghaf
Camel,Azawak
Camel,Berabish
Camel,Yoria
Camel,Saharan Camel
Camel,Camel
Camel,Majaheim
Camel,Omani
Camel,Dromadaire
Camel,Albishari
Camel,Anafi
Camel,Rashaidi
Camel,Kenany
Camel,Sudan West
Camel,Arab Camel
Camel,Gorane
Camel,Le Chameau du Kanem
Camel,Mahamid
Camel,Maghrebi
Camel,Arak
Camel,Hojun
Camel,Horra
Camel,Dromedary
Camel,Bactrian
Camel,Dromedary-Bactrian Hybrid
